4	16	2		Whasabay!👋	direct	f	\N	2025-08-06 16:39:55.289582	2025-08-06 16:39:55.289586	\N	\N
6	16	3		Whatsubay!	direct	f	\N	2025-08-06 16:41:26.33241	2025-08-06 16:41:26.332414	\N	\N
8	16	2		Dad Joke:\r\nWhy did the chicken cross the road?\r\nAns- To get to the other side!🤣🤣🤣🤣😭🤣🤣	direct	f	\N	2025-08-06 16:45:58.799512	2025-08-06 16:45:58.799515	\N	\N
9	16	3		Dad Joke:\r\nWhy did the chicken cross the road?\r\nAns- To get to the other side!🤣🤣🤣🤣🤣😭🤣🤣🤣🤣🤣	direct	f	\N	2025-08-06 16:48:16.013216	2025-08-06 16:48:16.013219	\N	\N
13	15	16	What	How	direct	f	\N	2025-08-13 18:09:18.255683	2025-08-13 18:09:18.255686	\N	\N
15	15	17	Yap	Sup	direct	f	\N	2025-08-13 18:10:30.622129	2025-08-13 18:10:30.622132	\N	\N
14	17	15	Yap	Sup	direct	t	\N	2025-08-13 18:09:53.047957	2025-08-13 18:10:43.714482	\N	\N
16	17	15	Yap	Sup	direct	f	\N	2025-08-13 18:11:19.177715	2025-08-13 18:11:19.177718	\N	\N
7	16	17		Whatsubay!	direct	t	\N	2025-08-06 16:41:54.117135	2025-08-13 18:11:29.817211	\N	\N
19	6	6	Math	Math is the best class never and if is time to learn is fun🤣and that all I have	direct	f	\N	2025-08-13 18:14:26.097491	2025-08-13 18:14:26.097494	\N	\N
\.


