74	My Career and Math	Students will create a poster showing how their career uses math.	3	2025-08-28 15:00:00	1	1	f	2025-11-15 21:44:43.53558	\N	\N	\N	\N	\N	\N	\N	Overdue	pdf_paper	f	10	30	homework	\N
17	Thales Worksheet	Thales Worksheet	11	2025-10-01 03:59:00	1	1	f	2025-09-29 05:23:17.878268	assignment_11_20250929_052317_Thales_Worksheet.pdf	Thales_Worksheet.pdf	/opt/render/project/src/static/uploads/assignment_11_20250929_052317_Thales_Worksheet.pdf	1147817	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
31	Archimedes Worksheet	Answer any and all questions	11	2025-10-19 03:59:00	1	1	f	2025-10-17 14:12:21.639088	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
8	Self-Inflating Balloon Quiz	A Quiz on the Experiment	6	2025-09-16 03:59:00	1	1	f	2025-09-15 03:59:19.390022	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	3	30	homework	\N
27	Recognizing verbs	A verb is a word that expresses action or being. Students will write the verb in each group of words.	10	2025-09-22 10:00:00	1	1	f	2025-10-14 21:57:58.272351	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
12	Oobleck & General Knowledge	A 30 question quiz	6	2025-10-01 03:59:00	1	1	f	2025-09-29 04:22:12.431283	assignment_6_20250929_042212_Oobleck__General_Knowledge.pdf	Oobleck__General_Knowledge.pdf	/opt/render/project/src/static/uploads/assignment_6_20250929_042212_Oobleck__General_Knowledge.pdf	107503	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
14	Strawberry DNA Extraction & Cell Biology Quiz	Strawberry DNA Extraction & Cell Biology	6	2025-10-01 03:59:00	1	1	f	2025-09-29 04:31:05.215086	assignment_6_20250929_043105_Strawberry_DNA_Extraction__Cell_Biology.pdf	Strawberry_DNA_Extraction__Cell_Biology.pdf	/opt/render/project/src/static/uploads/assignment_6_20250929_043105_Strawberry_DNA_Extraction__Cell_Biology.pdf	63516	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
13	Strawberry DNA Extraction Study Guide/Worksheet	Strawberry DNA Extraction Study Guide/Worksheet	6	2025-10-01 03:59:00	1	1	f	2025-09-29 04:26:57.81212	assignment_6_20250929_042657_Strawberry_DNA_Extraction_Study_Guide_Worksheet.pdf	Strawberry_DNA_Extraction_Study_Guide_Worksheet.pdf	/opt/render/project/src/static/uploads/assignment_6_20250929_042657_Strawberry_DNA_Extraction_Study_Guide_Worksheet.pdf	71872	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
15	Gummy Bear Osmosis Study Guide Worksheet	Gummy Bear Osmosis Study Guide Worksheet	6	2025-10-01 03:59:00	1	1	f	2025-09-29 04:35:53.030606	assignment_6_20250929_043553_Gummy_Bear_Osmosis_Study_Guide_Worksheet.pdf	Gummy_Bear_Osmosis_Study_Guide_Worksheet.pdf	/opt/render/project/src/static/uploads/assignment_6_20250929_043553_Gummy_Bear_Osmosis_Study_Guide_Worksheet.pdf	77440	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
16	Gummy Bear Osmosis & Basic Chemistry Quiz	Gummy Bear Osmosis & Basic Chemistry Quiz	6	2025-10-01 03:59:00	1	1	f	2025-09-29 04:38:17.866796	assignment_6_20250929_043817_Gummy_Bear_Osmosis__Basic_Chemistry_Quiz.pdf	Gummy_Bear_Osmosis__Basic_Chemistry_Quiz.pdf	/opt/render/project/src/static/uploads/assignment_6_20250929_043817_Gummy_Bear_Osmosis__Basic_Chemistry_Quiz.pdf	69291	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
18	Thales Worksheet	Thales Worksheet	12	2025-10-01 03:59:00	1	1	f	2025-09-29 05:23:52.090098	assignment_12_20250929_052352_Thales_Worksheet.pdf	Thales_Worksheet.pdf	/opt/render/project/src/static/uploads/assignment_12_20250929_052352_Thales_Worksheet.pdf	1147817	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
19	Red Cabbage pH & Acids Quiz	20 Question	6	2025-10-10 03:59:00	1	1	f	2025-10-08 18:48:21.574175	assignment_6_20251008_184821_Red_Cabbage_pH__Acids_Quiz.pdf	Red_Cabbage_pH__Acids_Quiz.pdf	/opt/render/project/src/static/uploads/assignment_6_20251008_184821_Red_Cabbage_pH__Acids_Quiz.pdf	66340	application/pdf	\N	\N	Inactive	pdf	f	10	30	homework	\N
20	Cursive Writing Practice	Consonant Combinations Practice\r\nAscenders Practice\r\nDescenders Practice	10	2025-10-16 03:59:00	1	1	f	2025-10-14 05:23:14.122804	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
23	Spelling words with short a sound	Students will learn to spell words with the short a sound	10	2025-09-10 10:59:00	1	1	f	2025-10-14 20:16:19.181484	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
24	Students are learning dictionary skills; alphabetical order	Students are to write each group of words on alphabetical order. The instructions are included. 	10	2025-09-10 10:00:00	1	1	f	2025-10-14 20:57:33.162799	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
26	Homophones and Rhymes	Using their spelling words, students will complete sentences for homophones, words that sound alike but are spelled differently and have a different meaning. In addition, they will complete sentences with spelling words that rhyme with the underlined word in the sentences.	10	2025-09-24 10:00:00	1	1	f	2025-10-14 21:40:22.875996	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
28	Spelling words with the long a sound	Students will spell the 20 spelling words that they studied this week.	10	2025-09-24 10:00:00	1	1	f	2025-10-14 22:09:53.600129	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
29	Spelling words with long e sound	Students will have a spelling test on their spelling words with the long e sound.	10	2025-10-08 10:00:00	1	1	f	2025-10-14 22:35:39.384334	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
21	Cursive Writing Practice	Consonant Combinations Practice\r\nAscenders Practice\r\nDescenders Practice	1	2025-10-16 03:59:00	1	1	f	2025-10-14 05:27:05.805432	\N	\N	\N	\N	\N	\N	\N	Inactive	pdf	f	10	30	homework	\N
