4	1	3	25	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.310474		f	\N	\N	\N
5	1	3	7	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.319211		f	\N	\N	\N
6	1	3	16	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.328268		f	\N	\N	\N
7	1	3	21	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.335488		f	\N	\N	\N
8	1	4	17	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.343734		f	\N	\N	\N
9	1	4	1	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.350451		f	\N	\N	\N
10	1	4	2	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.355757		f	\N	\N	\N
11	1	4	6	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.362898		f	\N	\N	\N
12	1	5	23	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.369258		f	\N	\N	\N
13	1	5	12	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.424536		f	\N	\N	\N
14	1	5	13	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.429692		f	\N	\N	\N
15	1	5	14	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.435557		f	\N	\N	\N
16	1	6	4	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.44082		f	\N	\N	\N
17	1	6	15	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.445745		f	\N	\N	\N
18	1	6	18	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.450936		f	\N	\N	\N
19	1	6	11	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.456343		f	\N	\N	\N
20	1	7	19	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.462617		f	\N	\N	\N
21	1	7	5	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.522719		f	\N	\N	\N
22	1	7	24	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.53046		f	\N	\N	\N
23	1	7	22	{"score": 92.0, "max_score": 100, "letter_grade": "A"}	\N	2025-10-09 18:51:08.53695		f	\N	\N	\N
3	2	3	25	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 11:50:48.145542		f	\N	\N	\N
24	2	3	7	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.553261		f	\N	\N	\N
25	2	3	16	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.558483		f	\N	\N	\N
26	2	3	21	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.563444		f	\N	\N	\N
27	2	4	17	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.572544		f	\N	\N	\N
28	2	4	1	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.577925		f	\N	\N	\N
29	2	4	2	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.58312		f	\N	\N	\N
30	2	4	6	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.588141		f	\N	\N	\N
31	2	5	23	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.593424		f	\N	\N	\N
32	2	5	12	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.598256		f	\N	\N	\N
33	2	5	13	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.623892		f	\N	\N	\N
34	2	5	14	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.629115		f	\N	\N	\N
35	2	6	4	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.634304		f	\N	\N	\N
36	2	6	15	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.639793		f	\N	\N	\N
37	2	6	18	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.645504		f	\N	\N	\N
38	2	6	11	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.650489		f	\N	\N	\N
39	2	7	19	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.655603		f	\N	\N	\N
40	2	7	5	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.660582		f	\N	\N	\N
41	2	7	24	{"score": 87.0, "max_score": 100, "letter_grade": "B"}	\N	2025-10-09 18:52:18.665534		f	\N	\N	\N
