3	What is Matter [In-Class]	N/A	6	2025-10-10 18:45:00	Q1	\N	\N	1	f	2025-10-09 18:48:57.230418	2	4	f	group	group_assignment_6_1760035737_What_is_Matter.pdf	What is Matter.pdf	/opt/render/project/src/static/uploads/group_assignment_6_1760035737_What_is_Matter.pdf	41137	application/pdf	pdf	Active	f	10	30	[9]	homework	\N
4	What is Matter [Homework]	N/A	6	2025-10-10 18:49:00	Q1	\N	\N	1	f	2025-10-09 18:50:11.8992	2	4	f	group	group_assignment_6_1760035811_What_is_Matter_Homework.pdf	What is Matter Homework.pdf	/opt/render/project/src/static/uploads/group_assignment_6_1760035811_What_is_Matter_Homework.pdf	172865	application/pdf	pdf	Active	f	10	30	[9]	homework	\N
1	Work Guide Borax Snow Crystals	Due	6	2025-10-08 12:15:00	Q1	\N	\N	1	f	2025-10-07 12:17:24.424236	2	4	f	group	group_assignment_6_1759839444_Study_Guide__Worksheet_Experiment_7__Borax_Crystal_Snowflakes.pdf	Study Guide & Worksheet Experiment 7_ Borax Crystal Snowflakes.pdf	/opt/render/project/src/static/uploads/group_assignment_6_1759839444_Study_Guide__Worksheet_Experiment_7__Borax_Crystal_Snowflakes.pdf	67021	application/pdf	pdf	Active	f	10	30	["3", "4", "5", "6", "7", "8", "9"]	homework	\N
2	Red Cabbage pH Indicator Worksheet	Studyguide worksheet	6	2025-10-09 12:56:00	Q1	\N	\N	1	f	2025-10-08 12:58:06.555389	2	4	f	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	["3", "4", "5", "6", "7", "8", "9"]	homework	\N
21	Learning Sight Words	Students will complete worksheet on sight words that they recognize by circling the word. In addition, students will write the sentence once and the sight word three times. The teacher will read the sentence to a student when necessary.	10	2025-10-08 19:17:00	Q1	\N	1	1	f	2025-10-24 19:21:29.622786	2	4	t	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	\N	homework	\N
8	Study Guide & Dissection Lab: Grasshopper	To work as a scientific team to dissect a grasshopper, identify its major external and internal anatomical structures, and understand their functions.	6	2025-10-15 09:00:00	Q1	S1	\N	1	f	2025-10-14 06:10:56.647619	2	4	f	group	group_assignment_6_1760422256_Study_Guide__Dissection_Lab__Grasshoper.pdf	Study Guide & Dissection Lab_ Grasshoper.pdf	/opt/render/project/src/static/uploads/group_assignment_6_1760422256_Study_Guide__Dissection_Lab__Grasshoper.pdf	138559	application/pdf	pdf	Active	f	10	30	[3, 4, 5, 6, 7]	homework	\N
9	Dissection Lab: Frog	Participation	6	2025-10-21 05:52:00	Q1	\N	\N	1	f	2025-10-20 05:52:29.789702	2	4	f	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	[3, 4, 5, 6, 7]	homework	\N
10	Solids [P1]	Solids Homework, Part 1	6	2025-10-21 06:02:00	Q1	\N	\N	1	f	2025-10-20 06:03:03.908376	2	4	f	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	[9]	homework	\N
11	Clara Science Academy - Study Guide & Dissection Lab StarFish	Experiment: Echinoderm Anatomy - The Starfish	6	2025-10-23 12:21:00	Q1	\N	\N	1	f	2025-10-22 12:22:27.314788	2	4	f	collaborative	group_assignment_6_1761135747_Study_Guide__Dissection_Lab__Starfish.pdf	Study Guide & Dissection Lab_ Starfish.pdf	/opt/render/project/src/static/uploads/group_assignment_6_1761135747_Study_Guide__Dissection_Lab__Starfish.pdf	424510	application/pdf	worksheet	Active	f	10	30	[3, 4, 5, 6, 7]	homework	\N
12	Solids [P2]	Solids Homework Part 2	6	2025-10-23 12:57:00	Q1	\N	\N	1	f	2025-10-22 12:57:31.011815	2	4	f	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	[9]	homework	\N
13	Liquids [In-Class]	In-Class Assignment	6	2025-10-23 14:55:00	Q1	\N	\N	1	f	2025-10-22 14:55:45.093253	2	4	f	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	[9]	homework	\N
14	Liquids Homework	Homework	6	2025-10-23 14:55:00	Q1	\N	\N	1	f	2025-10-22 14:56:15.134631	2	4	f	group	\N	\N	\N	\N	\N	pdf	Active	f	10	30	[9]	homework	\N
